unique_id,ds,y
0,01/02/2011,446
0,01/03/2011,475
0,01/04/2011,498
0,01/05/2011,511
0,01/06/2011,597
0,01/07/2011,493
0,01/08/2011,496
0,01/09/2011,538
0,01/10/2011,497
0,01/11/2011,494
0,01/12/2011,552
0,01/13/2011,599
0,01/14/2011,533
0,01/15/2011,508
0,01/16/2011,534
0,01/17/2011,529
0,01/18/2011,516
0,01/19/2011,609
0,01/20/2011,589
0,01/21/2011,575
0,01/22/2011,515
0,01/23/2011,605
0,01/24/2011,788
0,01/25/2011,902
0,01/26/2011,864
0,01/27/2011,843
0,01/28/2011,624
0,01/29/2011,525
0,01/30/2011,561
0,01/31/2011,537
0,02/01/2011,520
0,02/02/2011,545
0,02/03/2011,636
0,02/04/2011,493
0,02/05/2011,470
0,02/06/2011,496
0,02/07/2011,453
0,02/08/2011,480
0,02/09/2011,477
0,02/10/2011,567
0,02/11/2011,482
0,02/12/2011,489
0,02/13/2011,498
0,02/14/2011,429
0,02/15/2011,503
0,02/16/2011,521
0,02/17/2011,570
0,02/18/2011,611
0,02/19/2011,515
0,02/20/2011,487
0,02/21/2011,421
0,02/22/2011,448
0,02/23/2011,472
0,02/24/2011,580
0,02/25/2011,474
0,02/26/2011,425
0,02/27/2011,448
0,02/28/2011,444
0,03/01/2011,421
0,03/02/2011,499
0,03/03/2011,553
0,03/04/2011,515
0,03/05/2011,465
0,03/06/2011,438
0,03/07/2011,426
0,03/08/2011,444
0,03/09/2011,475
0,03/10/2011,550
0,03/11/2011,541
0,03/12/2011,450
0,03/13/2011,469
0,03/14/2011,414
0,03/15/2011,430
0,03/16/2011,447
0,03/17/2011,492
0,03/18/2011,473
0,03/19/2011,454
0,03/20/2011,393
0,03/21/2011,435
0,03/22/2011,473
0,03/23/2011,524
0,03/24/2011,544
0,03/25/2011,559
0,03/26/2011,503
0,03/27/2011,504
0,03/28/2011,480
0,03/29/2011,501
0,03/30/2011,509
0,03/31/2011,533
0,04/01/2011,499
0,04/02/2011,443
0,04/03/2011,494
0,04/04/2011,405
0,04/05/2011,463
0,04/06/2011,535
0,04/07/2011,482
0,04/08/2011,495
0,04/09/2011,456
0,04/10/2011,446
0,04/11/2011,406
0,04/12/2011,473
0,04/13/2011,436
0,04/14/2011,494
0,04/15/2011,487
0,04/16/2011,452
0,04/17/2011,430
0,04/18/2011,415
0,04/19/2011,424
0,04/20/2011,455
0,04/21/2011,522
0,04/22/2011,461
0,04/23/2011,444
0,04/24/2011,414
0,04/25/2011,408
0,04/26/2011,452
0,04/27/2011,469
0,04/28/2011,530
0,04/29/2011,494
0,04/30/2011,464
0,05/01/2011,463
0,05/02/2011,480
0,05/03/2011,448
0,05/04/2011,495
0,05/05/2011,471
0,05/06/2011,434
0,05/07/2011,390
0,05/08/2011,413
0,05/09/2011,439
0,05/10/2011,479
0,05/11/2011,458
0,05/12/2011,542
0,05/13/2011,491
0,05/14/2011,425
0,05/15/2011,424
0,05/16/2011,439
0,05/17/2011,422
0,05/18/2011,421
0,05/19/2011,471
0,05/20/2011,468
0,05/21/2011,461
0,05/22/2011,432
0,05/23/2011,429
